shipment_id,shipment_date,clearance_date,exporter_business_unit,consignee_name,consignee_address,schedule_b_code,eccn,bom_origin_country,bom_tooling_origin,item_quantity,unit_value_usd,license_type,license_obtained,port_of_exit,clearance_hours,pga_required,pga_obtained,trusted_trader_status,total_value_usd,consignee_country,shipment_month,shipment_year,shipment_quarter,shipment_day_of_week,address_red_flag
EXP-100019,2026-06-15,2026-06-17 03:00:00,US-IndustrialEquipment,AL-KHOBAR DISTRIBUTORS,"234 Innovation Drive, Bangalore, IN",9018.90.7500,5A002,US,US,325,4628.54,LICENSE,Y,LOS ANGELES,51,Y,Y,N,1504275.5,IN,2026-06,2026,2,0,False
EXP-100020,2026-04-26,2026-04-28 07:00:00,US-IndustrialEquipment,AL-KHOBAR DISTRIBUTORS,"321 Avenue de la Gare, Brussels, BE",9022.14.0000,9A004,US,DE,101,4004.11,EXCEPTION,Y,HOUSTON,55,N,Y,Y,404415.11,BE,2026-04,2026,2,6,False
EXP-100021,2026-01-14,2026-01-18 20:00:00,US-MedicalDevices,MIDDLE EAST TRADING CO,"456 Industrial Zone, Riyadh, SA",8517.62.0010,EAR99,US,US,292,1308.84,NLR,Y,MIAMI,116,N,Y,Y,382181.28,SA,2026-01,2026,1,2,False
EXP-100022,2026-04-09,2026-04-11 12:00:00,US-ConsumerElectronics,ASIA TECH IMPORTS,"123 Corporate Blvd, Dublin, IE",9022.14.0000,5A002,DE,US,251,2157.59,LICENSE,Y,SEATTLE,60,N,Y,Y,541555.0900000001,IE,2026-04,2026,2,3,False
EXP-100023,2025-12-14,2025-12-15 22:00:00,US-ConsumerElectronics,MIDDLE EAST TRADING CO,"123 Corporate Blvd, Dublin, IE",8471.30.0100,EAR99,IE,US,220,511.94,LICENSE,Y,CHICAGO O'HARE,46,N,Y,N,112626.8,IE,2025-12,2025,4,6,False
EXP-100024,2026-05-16,2026-05-17 23:00:00,US-MedicalDevices,GLOBAL LOGISTICS LTD,"456 Industrial Zone, Riyadh, SA",8803.30.0030,EAR99,US,US,160,4518.32,LICENSE,Y,NEWARK,47,Y,Y,N,722931.2,SA,2026-05,2026,2,5,False
EXP-100025,2025-07-28,2025-07-28 16:00:00,US-IndustrialEquipment,GLOBAL LOGISTICS LTD,"678 Commerce Street, Mexico City, MX",8708.29.5060,EAR99,US,DE,187,355.79,NLR,Y,MIAMI,16,N,Y,N,66532.73000000001,MX,2025-07,2025,3,0,False
EXP-100026,2026-03-16,2026-03-17 20:00:00,US-IndustrialEquipment,ASIA TECH IMPORTS,"234 Innovation Drive, Bangalore, IN",8708.29.5060,EAR99,MX,KR,384,101.03,NLR,Y,HOUSTON,44,N,Y,Y,38795.52,IN,2026-03,2026,1,0,False
EXP-100027,2026-02-27,2026-03-01 20:00:00,US-MedicalDevices,AL-KHOBAR DISTRIBUTORS,"234 Innovation Drive, Bangalore, IN, SIMFEROPOL, CRIMEA",9030.90.0000,EAR99,MX,DE,444,2487.2,NLR,Y,CHICAGO O'HARE,68,Y,N,N,1104316.7999999998,SYRIA,2026-02,2026,1,4,True
EXP-100028,2026-06-16,2026-06-17 11:00:00,US-ConsumerElectronics,NORTH STAR SUPPLY,"567 Business Park, Singapore, SG",9018.90.7500,9A004,US,DE,87,3019.61,NLR,Y,MIAMI,35,N,Y,N,262706.07,SG,2026-06,2026,2,1,False
EXP-100029,2025-08-24,2025-08-25 21:00:00,US-MedicalDevices,POLY TECHNOLOGIES,"456 Industrial Zone, Riyadh, SA",9022.14.0000,5A002,DE,TW,464,1123.84,LICENSE,Y,CHICAGO O'HARE,45,N,Y,Y,521461.76,SA,2025-08,2025,3,6,False
EXP-100030,2025-09-03,2025-09-05 00:00:00,US-AerospaceParts,GLOBAL LOGISTICS LTD,"234 Innovation Drive, Bangalore, IN",8517.62.0010,EAR99,IE,US,498,2857.04,NLR,Y,SEATTLE,48,N,Y,N,1422805.92,IN,2025-09,2025,3,2,False
EXP-100031,2025-12-23,2025-12-24 12:00:00,US-MedicalDevices,AL-KHOBAR DISTRIBUTORS,"123 Corporate Blvd, Dublin, IE",8803.30.0030,EAR99,MX,US,330,4478.85,LICENSE,Y,HOUSTON,36,N,N,Y,1478020.5000000002,IE,2025-12,2025,4,1,False
EXP-100032,2026-01-10,2026-01-12 14:00:00,US-Pharmaceuticals,ATLANTIC DISTRIBUTORS,"234 Innovation Drive, Bangalore, IN",8708.29.5060,EAR99,MX,US,349,3134.31,NLR,N,LOS ANGELES,62,N,Y,Y,1093874.19,IN,2026-01,2026,1,5,False
EXP-100033,2026-04-03,2026-04-05 00:00:00,US-IndustrialEquipment,ATLANTIC DISTRIBUTORS,"789 Haidian District, Beijing, CN",8542.31.0000,EAR99,DE,TW,155,2284.15,NLR,Y,MIAMI,48,N,Y,N,354043.25,CN,2026-04,2026,2,4,False
EXP-100034,2026-01-12,2026-01-13 12:00:00,US-ConsumerElectronics,MIDDLE EAST TRADING CO,"234 Innovation Drive, Bangalore, IN",8708.29.5060,EAR99,MX,JP,355,730.7,LICENSE,Y,HOUSTON,36,N,Y,N,259398.50000000003,IN,2026-01,2026,1,0,False
EXP-100035,2025-12-28,2025-12-29 09:00:00,US-AerospaceParts,EURO MEDICAL SOLUTIONS,"567 Business Park, Singapore, SG",8803.30.0030,5A002,US,US,490,853.02,LICENSE,N,LOS ANGELES,33,N,Y,Y,417979.8,SG,2025-12,2025,4,6,False
EXP-100036,2025-08-26,2025-08-28 08:00:00,US-Pharmaceuticals,NORTH STAR SUPPLY,"890 Technology Hub, Taipei, TW",8471.30.0100,9A004,CN,JP,493,2426.93,NLR,Y,LOS ANGELES,56,N,Y,N,1196476.49,TW,2025-08,2025,3,1,False
EXP-100037,2026-07-05,2026-07-05 16:00:00,US-AerospaceParts,MIDDLE EAST TRADING CO,"321 Avenue de la Gare, Brussels, BE",9022.14.0000,5A002,US,IL,280,2320.98,EXCEPTION,Y,HOUSTON,16,N,Y,N,649874.4,BE,2026-07,2026,3,6,False
EXP-100038,2025-08-30,2025-09-01 18:00:00,US-MedicalDevices,ATLANTIC DISTRIBUTORS,"890 Technology Hub, Taipei, TW",3004.90.9203,5A002,SG,US,343,2616.72,NLR,Y,NEWARK,66,N,Y,N,897534.96,TW,2025-08,2025,3,5,False
EXP-100039,2026-03-07,2026-03-09 16:00:00,US-ConsumerElectronics,NORTH STAR SUPPLY,"789 Haidian District, Beijing, CN",8517.62.0010,5A001,US,JP,323,2544.37,LICENSE,Y,NEW YORK,64,Y,Y,N,821831.51,CN,2026-03,2026,1,5,False
EXP-100040,2026-05-22,2026-05-24 04:00:00,US-IndustrialEquipment,POLY TECHNOLOGIES,"890 Technology Hub, Taipei, TW",9030.90.0000,EAR99,CN,DE,164,1712.98,NLR,Y,HOUSTON,52,N,Y,Y,280928.72000000003,TW,2026-05,2026,2,4,False
EXP-100041,2025-11-14,2025-11-16 10:00:00,US-AerospaceParts,EURO MEDICAL SOLUTIONS,"234 Innovation Drive, Bangalore, IN",8542.31.0000,EAR99,US,DE,493,3482.36,NLR,N,CHICAGO O'HARE,58,N,Y,Y,1716803.48,IN,2025-11,2025,4,4,False
EXP-100042,2026-05-09,2026-05-10 14:00:00,US-AerospaceParts,MIDDLE EAST TRADING CO,"567 Business Park, Singapore, SG",9018.90.7500,5A002,US,DE,398,1068.93,EXCEPTION,N,NEWARK,38,N,Y,N,425434.14,SG,2026-05,2026,2,5,False
EXP-100043,2025-11-18,2025-11-19 22:00:00,US-IndustrialEquipment,ATLANTIC DISTRIBUTORS,"123 Corporate Blvd, Dublin, IE",9018.90.7500,3A001,KR,TW,68,4263.12,EXCEPTION,Y,LOS ANGELES,46,N,Y,Y,289892.16,IE,2025-11,2025,4,1,False
EXP-100044,2025-07-27,2025-07-27 12:00:00,US-IndustrialEquipment,GLOBAL LOGISTICS LTD,"123 Corporate Blvd, Dublin, IE",9018.90.7500,5A002,CN,JP,428,980.04,NLR,N,NEW YORK,12,Y,Y,N,419457.12,IE,2025-07,2025,3,6,False
EXP-100045,2026-05-31,2026-06-01 07:00:00,US-Pharmaceuticals,GLOBAL LOGISTICS LTD,"789 Haidian District, Beijing, CN",8542.31.0000,EAR99,CN,US,432,2085.28,EXCEPTION,N,NEW YORK,31,N,Y,N,900840.96,CN,2026-05,2026,2,6,False
EXP-100046,2025-12-20,2025-12-20 18:00:00,US-MedicalDevices,MIDDLE EAST TRADING CO,"890 Technology Hub, Taipei, TW",8803.30.0030,9A004,US,US,362,1061.61,NLR,Y,NEW YORK,18,N,Y,N,384302.82,TW,2025-12,2025,4,5,False
EXP-100047,2026-04-06,2026-04-10 07:00:00,US-ConsumerElectronics,POLY TECHNOLOGIES,"678 Commerce Street, Mexico City, MX",9030.90.0000,EAR99,MX,US,375,3096.08,EXCEPTION,Y,MIAMI,103,N,Y,N,1161030.0,MX,2026-04,2026,2,0,False
EXP-100048,2025-10-03,2025-10-03 14:00:00,US-IndustrialEquipment,POLY TECHNOLOGIES,"678 Commerce Street, Mexico City, MX",8708.29.5060,3A001,US,JP,288,2393.41,LICENSE,N,LOS ANGELES,14,N,Y,Y,689302.08,MX,2025-10,2025,4,4,False
EXP-100049,2026-05-18,2026-05-20 05:00:00,US-IndustrialEquipment,ASIA TECH IMPORTS,"567 Business Park, Singapore, SG",3004.90.9203,5A001,CN,US,212,1877.83,NLR,Y,MIAMI,53,N,Y,N,398099.96,SG,2026-05,2026,2,0,False
EXP-100050,2025-07-20,2025-07-22 19:00:00,US-AerospaceParts,EURO MEDICAL SOLUTIONS,"321 Avenue de la Gare, Brussels, BE",9030.90.0000,EAR99,KR,US,120,2380.92,EXCEPTION,Y,NEW YORK,67,N,Y,Y,285710.4,BE,2025-07,2025,3,6,False
EXP-100051,2026-03-05,2026-03-07 13:00:00,US-MedicalDevices,AL-KHOBAR DISTRIBUTORS,"234 Innovation Drive, Bangalore, IN",3004.90.9203,5A001,CN,US,401,2111.99,LICENSE,Y,MIAMI,61,N,Y,N,846907.9899999999,IN,2026-03,2026,1,3,False
EXP-100052,2026-03-28,2026-03-30 11:00:00,US-IndustrialEquipment,POLY TECHNOLOGIES,"890 Technology Hub, Taipei, TW",8517.62.0010,3A001,US,DE,477,4277.28,NLR,Y,HOUSTON,59,Y,Y,Y,2040262.56,TW,2026-03,2026,1,5,False
EXP-100053,2026-06-17,2026-06-17 20:00:00,US-IndustrialEquipment,EURO MEDICAL SOLUTIONS,"678 Commerce Street, Mexico City, MX",8803.30.0030,9A004,DE,US,185,630.09,NLR,Y,HOUSTON,20,N,Y,Y,116566.65,MX,2026-06,2026,2,2,False
EXP-100054,2025-08-28,2025-08-30 10:00:00,US-MedicalDevices,POLY TECHNOLOGIES,"678 Commerce Street, Mexico City, MX",8517.62.0010,EAR99,IE,TW,423,3967.98,EXCEPTION,Y,LOS ANGELES,58,N,Y,Y,1678455.54,MX,2025-08,2025,3,3,False
EXP-100055,2026-06-11,2026-06-12 01:00:00,US-ConsumerElectronics,ASIA TECH IMPORTS,"890 Technology Hub, Taipei, TW",8803.30.0030,9A004,US,US,416,3280.09,LICENSE,Y,HOUSTON,25,N,N,Y,1364517.44,TW,2026-06,2026,2,3,False
EXP-100056,2025-10-06,2025-10-07 06:00:00,US-MedicalDevices,PACIFIC TRADING GROUP,"321 Avenue de la Gare, Brussels, BE",9022.14.0000,EAR99,KR,JP,452,1748.12,NLR,Y,LOS ANGELES,30,N,Y,Y,790150.24,BE,2025-10,2025,4,0,False
EXP-100057,2026-03-27,2026-03-28 14:00:00,US-ConsumerElectronics,POLY TECHNOLOGIES,"456 Industrial Zone, Riyadh, SA",8708.29.5060,3A001,US,DE,216,4596.32,NLR,Y,NEW YORK,38,N,Y,Y,992805.12,SA,2026-03,2026,1,4,False
EXP-100058,2025-08-10,2025-08-10 17:00:00,US-MedicalDevices,EURO MEDICAL SOLUTIONS,"234 Innovation Drive, Bangalore, IN",8471.30.0100,EAR99,IE,TW,492,892.96,NLR,Y,NEW YORK,17,N,Y,N,439336.32,IN,2025-08,2025,3,6,False
EXP-100059,2026-01-28,2026-01-28 18:00:00,US-ConsumerElectronics,ASIA TECH IMPORTS,"789 Haidian District, Beijing, CN",8471.30.0100,EAR99,DE,DE,490,1558.34,NLR,Y,HOUSTON,18,N,Y,Y,763586.6,CN,2026-01,2026,1,2,False
EXP-100060,2025-09-25,2025-09-27 00:00:00,US-ConsumerElectronics,ASIA TECH IMPORTS,"234 Innovation Drive, Bangalore, IN",8803.30.0030,EAR99,TW,KR,130,1880.46,NLR,Y,HOUSTON,48,N,Y,N,244459.8,IN,2025-09,2025,3,3,False
EXP-100061,2025-08-25,2025-08-26 13:00:00,US-AerospaceParts,EURO MEDICAL SOLUTIONS,"567 Business Park, Singapore, SG",8471.30.0100,EAR99,KR,US,78,3242.5,LICENSE,Y,NEW YORK,37,N,Y,N,252915.0,SG,2025-08,2025,3,0,False
EXP-100062,2026-07-01,2026-07-02 00:00:00,US-AerospaceParts,EURO MEDICAL SOLUTIONS,"789 Haidian District, Beijing, CN",8542.31.0000,EAR99,US,JP,488,4732.59,NLR,Y,MIAMI,24,N,N,N,2309503.92,CN,2026-07,2026,3,2,False
EXP-100063,2025-07-08,2025-07-11 23:00:00,US-IndustrialEquipment,GLOBAL LOGISTICS LTD,"321 Avenue de la Gare, Brussels, BE",9030.90.0000,EAR99,US,US,170,2971.3,NLR,Y,NEWARK,95,N,Y,N,505121.00000000006,BE,2025-07,2025,3,1,False
EXP-100064,2025-08-29,2025-08-31 09:00:00,US-MedicalDevices,PACIFIC TRADING GROUP,"567 Business Park, Singapore, SG",8517.62.0010,EAR99,KR,TW,38,4282.97,LICENSE,Y,HOUSTON,57,Y,Y,N,162752.86000000002,SG,2025-08,2025,3,4,False
EXP-100065,2025-10-20,2025-10-21 20:00:00,US-MedicalDevices,ASIA TECH IMPORTS,"123 Corporate Blvd, Dublin, IE",9022.14.0000,EAR99,CN,US,55,4525.82,NLR,Y,SEATTLE,44,Y,Y,N,248920.1,IE,2025-10,2025,4,0,False
EXP-100066,2026-03-23,2026-03-25 15:00:00,US-IndustrialEquipment,GLOBAL LOGISTICS LTD,"123 Corporate Blvd, Dublin, IE",8708.29.5060,EAR99,US,DE,439,2337.65,EXCEPTION,N,SEATTLE,63,N,Y,N,1026228.35,IE,2026-03,2026,1,0,False
EXP-100067,2026-05-12,2026-05-13 20:00:00,US-MedicalDevices,NORTH STAR SUPPLY,"234 Innovation Drive, Bangalore, IN, PYONGYANG, NORTH KOREA",8708.29.5060,EAR99,DE,DE,290,2367.45,NLR,Y,SEATTLE,44,Y,Y,N,686560.5,NORTH KOREA,2026-05,2026,2,1,True
EXP-100068,2026-01-13,2026-01-15 04:00:00,US-Pharmaceuticals,MIDDLE EAST TRADING CO,"567 Business Park, Singapore, SG",9022.14.0000,5A001,US,KR,46,1257.49,LICENSE,Y,HOUSTON,52,Y,Y,N,57844.54,SG,2026-01,2026,1,1,False
EXP-100069,2026-02-09,2026-02-09 20:00:00,US-IndustrialEquipment,MIDDLE EAST TRADING CO,"789 Haidian District, Beijing, CN",9018.90.7500,5A002,IE,US,171,3011.92,LICENSE,Y,LOS ANGELES,20,N,Y,N,515038.32,CN,2026-02,2026,1,0,False
EXP-100070,2025-08-19,2025-08-20 02:00:00,US-ConsumerElectronics,ASIA TECH IMPORTS,"789 Haidian District, Beijing, CN",9018.90.7500,EAR99,US,JP,130,608.94,NLR,Y,MIAMI,26,N,N,N,79162.20000000001,CN,2025-08,2025,3,1,False
EXP-100071,2025-12-15,2025-12-15 16:00:00,US-Pharmaceuticals,GLOBAL LOGISTICS LTD,"123 Corporate Blvd, Dublin, IE",9018.90.7500,5A002,MX,IL,164,3175.3,EXCEPTION,Y,SEATTLE,16,N,Y,Y,520749.2,IE,2025-12,2025,4,0,False
EXP-100072,2026-01-24,2026-01-26 16:00:00,US-MedicalDevices,PACIFIC TRADING GROUP,"123 Corporate Blvd, Dublin, IE",9022.14.0000,3A001,US,US,70,4465.56,LICENSE,Y,NEW YORK,64,N,Y,Y,312589.2,IE,2026-01,2026,1,5,False
EXP-100073,2026-04-02,2026-04-03 16:00:00,US-ConsumerElectronics,PACIFIC TRADING GROUP,"321 Avenue de la Gare, Brussels, BE",8471.30.0100,EAR99,US,IL,292,3806.32,NLR,Y,MIAMI,40,N,Y,N,1111445.44,BE,2026-04,2026,2,3,False
EXP-100074,2026-06-22,2026-06-24 16:00:00,US-AerospaceParts,NORTH STAR SUPPLY,"567 Business Park, Singapore, SG, SIMFEROPOL, CRIMEA",3004.90.9203,EAR99,IE,US,406,3249.45,EXCEPTION,Y,NEWARK,64,N,Y,Y,1319276.7,NORTH KOREA,2026-06,2026,2,0,True
EXP-100075,2026-05-06,2026-05-06 18:00:00,US-ConsumerElectronics,ASIA TECH IMPORTS,"789 Haidian District, Beijing, CN",9022.14.0000,5A002,JP,KR,69,4193.64,EXCEPTION,Y,NEWARK,18,N,Y,N,289361.16000000003,CN,2026-05,2026,2,2,False
EXP-100076,2026-04-03,2026-04-04 18:00:00,US-Pharmaceuticals,POLY TECHNOLOGIES,"678 Commerce Street, Mexico City, MX",8471.30.0100,9A004,CN,IL,422,3651.78,LICENSE,N,NEWARK,42,N,Y,N,1541051.16,MX,2026-04,2026,2,4,False
EXP-100077,2026-02-06,2026-02-08 17:00:00,US-MedicalDevices,NORTH STAR SUPPLY,"321 Avenue de la Gare, Brussels, BE",9030.90.0000,5A002,US,IL,105,2653.01,NLR,Y,NEW YORK,65,N,Y,N,278566.05000000005,BE,2026-02,2026,1,4,False
EXP-100078,2026-03-15,2026-03-16 21:00:00,US-ConsumerElectronics,GLOBAL LOGISTICS LTD,"789 Haidian District, Beijing, CN",9022.14.0000,3A001,DE,DE,54,2610.11,NLR,Y,HOUSTON,45,Y,Y,Y,140945.94,CN,2026-03,2026,1,6,False
EXP-100079,2026-01-12,2026-01-12 22:00:00,US-AerospaceParts,POLY TECHNOLOGIES,"123 Corporate Blvd, Dublin, IE",8517.62.0010,EAR99,US,KR,406,543.95,LICENSE,Y,LOS ANGELES,22,N,Y,N,220843.7,IE,2026-01,2026,1,0,False
EXP-100080,2026-04-28,2026-04-30 05:00:00,US-AerospaceParts,MIDDLE EAST TRADING CO,"567 Business Park, Singapore, SG",8471.30.0100,3A001,CN,US,368,2177.73,NLR,N,SEATTLE,53,N,Y,Y,801404.64,SG,2026-04,2026,2,1,False
EXP-100081,2026-02-04,2026-02-05 06:00:00,US-ConsumerElectronics,MED-SUPPLY-EU,"456 Industrial Zone, Riyadh, SA",8708.29.5060,EAR99,KR,DE,459,2617.02,LICENSE,Y,CHICAGO O'HARE,30,N,Y,N,1201212.18,SA,2026-02,2026,1,2,False
EXP-100082,2026-01-30,2026-01-30 16:00:00,US-ConsumerElectronics,MIDDLE EAST TRADING CO,"567 Business Park, Singapore, SG",8803.30.0030,EAR99,KR,US,363,2354.89,LICENSE,Y,SEATTLE,16,N,Y,N,854825.07,SG,2026-01,2026,1,4,False
EXP-100083,2026-02-28,2026-03-01 10:00:00,US-IndustrialEquipment,ASIA TECH IMPORTS,"890 Technology Hub, Taipei, TW",8803.30.0030,5A002,US,DE,248,3882.31,LICENSE,Y,SEATTLE,34,N,Y,N,962812.88,TW,2026-02,2026,1,5,False
EXP-100084,2026-06-09,2026-06-11 10:00:00,US-MedicalDevices,EURO MEDICAL SOLUTIONS,"678 Commerce Street, Mexico City, MX",9022.14.0000,9A004,JP,TW,415,813.2,LICENSE,Y,LOS ANGELES,58,N,Y,Y,337478.0,MX,2026-06,2026,2,1,False
EXP-100085,2025-08-28,2025-08-28 13:00:00,US-IndustrialEquipment,MIDDLE EAST TRADING CO,"678 Commerce Street, Mexico City, MX",8517.62.0010,EAR99,CN,US,309,3976.55,EXCEPTION,Y,NEW YORK,13,N,Y,N,1228753.95,MX,2025-08,2025,3,3,False
EXP-100086,2026-04-12,2026-04-14 06:00:00,US-AerospaceParts,ATLANTIC DISTRIBUTORS,"678 Commerce Street, Mexico City, MX",8517.62.0010,EAR99,SG,IL,373,3710.9,EXCEPTION,Y,MIAMI,54,N,Y,Y,1384165.7,MX,2026-04,2026,2,6,False
EXP-100087,2026-02-08,2026-02-08 15:00:00,US-IndustrialEquipment,MIDDLE EAST TRADING CO,"456 Industrial Zone, Riyadh, SA",8803.30.0030,3A001,MX,JP,106,4505.1,LICENSE,Y,NEWARK,15,N,Y,N,477540.6,SA,2026-02,2026,1,6,False
EXP-100088,2026-03-15,2026-03-16 04:00:00,US-IndustrialEquipment,MIDDLE EAST TRADING CO,"234 Innovation Drive, Bangalore, IN, SIMFEROPOL, CRIMEA",8471.30.0100,5A002,SG,KR,1,3500.0,NLR,Y,CHICAGO O'HARE,28,N,Y,N,3500.0,NORTH KOREA,2026-03,2026,1,6,True
EXP-100089,2026-01-10,2026-01-14 17:00:00,US-MedicalDevices,MIDDLE EAST TRADING CO,"234 Innovation Drive, Bangalore, IN",9030.90.0000,EAR99,CN,KR,315,890.95,EXCEPTION,Y,MIAMI,113,N,Y,N,280649.25,IN,2026-01,2026,1,5,False
EXP-100090,2025-08-16,2025-08-19 17:00:00,US-AerospaceParts,MIDDLE EAST TRADING CO,"321 Avenue de la Gare, Brussels, BE",9022.14.0000,EAR99,US,TW,97,3795.56,NLR,N,NEWARK,89,N,Y,Y,368169.32,BE,2025-08,2025,3,5,False
EXP-100091,2025-12-10,2025-12-12 22:00:00,US-IndustrialEquipment,POLY TECHNOLOGIES,"456 Industrial Zone, Riyadh, SA",9030.90.0000,EAR99,MX,US,342,2946.27,NLR,N,SEATTLE,70,N,Y,N,1007624.34,SA,2025-12,2025,4,2,False
